Date,Open,High,Low,Close,Volume
16-May-14,188.95,192.04,187.72,191.56,4489312
15-May-14,189.98,192.66,185.30,188.59,6046139
14-May-14,188.95,193.48,187.10,190.62,5414945
13-May-14,183.76,191.34,183.00,190.16,7097242
12-May-14,183.87,187.19,179.88,184.67,7004330
9-May-14,179.86,183.40,177.22,182.26,8495159
8-May-14,182.00,194.40,178.00,178.59,20056591
7-May-14,209.64,210.20,197.25,201.35,10179291
6-May-14,216.60,218.66,206.85,207.28,5636725
5-May-14,209.48,217.69,208.52,216.61,5152343
2-May-14,208.60,211.36,206.52,210.91,4091394
1-May-14,207.08,214.02,205.69,207.73,5444670
30-Apr-14,203.60,208.16,201.28,207.89,4443453
29-Apr-14,198.21,207.15,195.53,206.92,5787369
28-Apr-14,200.00,203.79,190.50,198.51,7041983
25-Apr-14,202.00,206.70,197.65,199.85,6996658
24-Apr-14,210.81,212.80,203.20,207.86,5504768
23-Apr-14,216.33,216.74,207.00,207.99,7295609
22-Apr-14,206.36,219.33,205.01,218.64,9809333
21-Apr-14,197.08,206.20,194.00,204.38,5266490
17-Apr-14,199.61,202.29,194.08,198.12,5929506
16-Apr-14,197.00,199.99,190.82,199.11,7205319
15-Apr-14,199.09,199.29,184.32,193.91,13667071
14-Apr-14,207.60,208.44,194.41,198.09,7703031
11-Apr-14,200.61,207.00,198.60,203.78,9071300
10-Apr-14,216.82,217.50,203.79,204.19,7211492
9-Apr-14,216.76,218.45,210.89,216.93,5157923
8-Apr-14,210.05,216.49,206.42,215.46,6889296
7-Apr-14,205.81,216.20,203.51,207.52,9855478
4-Apr-14,226.01,228.27,211.25,212.22,11345618
3-Apr-14,230.30,235.73,222.00,225.40,10923734
2-Apr-14,220.00,230.89,218.05,230.29,10782251
1-Apr-14,209.02,218.16,208.58,216.97,7371422
31-Mar-14,216.50,216.75,206.39,208.45,8380023
28-Mar-14,212.80,216.72,210.27,212.37,9684761
27-Mar-14,212.37,213.60,203.00,207.32,9505307
26-Mar-14,221.95,222.60,211.35,212.96,6907306
25-Mar-14,224.14,227.05,217.90,220.44,7865375
24-Mar-14,229.75,229.90,210.27,220.17,11332947
21-Mar-14,236.02,236.20,227.50,228.89,8227311
20-Mar-14,236.16,239.25,233.36,234.91,3817905
19-Mar-14,241.39,241.55,233.51,235.84,5071327
18-Mar-14,236.95,241.50,235.02,240.04,6242349
17-Mar-14,234.95,237.93,230.50,233.98,5912592
14-Mar-14,235.29,236.94,228.32,230.97,8289733
13-Mar-14,243.79,244.19,234.00,237.79,6236325
12-Mar-14,231.50,247.50,231.11,241.49,9763911
11-Mar-14,236.50,244.60,232.43,234.41,8836349
10-Mar-14,242.70,243.00,236.06,238.84,7745751
7-Mar-14,252.94,254.85,244.41,246.21,7818465
6-Mar-14,254.14,257.50,249.45,252.94,7374719
5-Mar-14,256.72,256.99,251.80,252.66,5946736
4-Mar-14,258.48,260.00,252.83,254.84,8765392
3-Mar-14,237.26,251.65,234.99,250.56,13109303
28-Feb-14,249.65,252.68,242.55,244.81,14612693
27-Feb-14,263.25,261.90,248.33,252.54,17970707
26-Feb-14,258.58,265.00,247.50,253.00,24771194
25-Feb-14,230.00,259.20,228.45,248.00,32797000
24-Feb-14,208.76,218.36,208.32,217.65,8303133
21-Feb-14,211.64,213.98,209.19,209.60,7828981
20-Feb-14,215.01,215.21,206.27,209.97,18022262
19-Feb-14,203.70,203.70,193.41,193.64,16419899
18-Feb-14,205.24,206.00,201.36,203.70,9355871
14-Feb-14,198.10,201.88,197.00,198.23,6173462
13-Feb-14,193.34,202.72,193.25,199.63,8174049
12-Feb-14,195.78,198.27,194.32,195.32,5181313
11-Feb-14,198.97,202.20,192.70,196.62,10734472
10-Feb-14,189.34,199.30,189.32,196.56,12989286
7-Feb-14,181.01,186.63,179.60,186.53,8964054
6-Feb-14,176.30,180.11,176.00,178.38,5847953
5-Feb-14,178.30,180.59,169.36,174.42,7275952
4-Feb-14,180.70,181.60,176.20,178.73,4690883
3-Feb-14,182.89,184.88,175.16,177.11,6778609
31-Jan-14,178.85,186.00,178.51,181.41,6512951
30-Jan-14,178.00,184.78,177.01,182.84,8575210
29-Jan-14,175.30,179.09,173.13,175.23,5956817
28-Jan-14,171.50,178.98,171.00,178.38,6128237
27-Jan-14,175.16,177.92,164.71,169.62,8737773
24-Jan-14,177.85,180.48,173.53,174.60,7711296
23-Jan-14,177.23,182.38,173.42,181.50,7899515
22-Jan-14,177.81,180.32,174.76,178.56,7036758
21-Jan-14,171.24,177.29,170.81,176.68,9745765
17-Jan-14,170.19,173.20,167.95,170.01,9216028
16-Jan-14,162.50,172.70,162.40,170.97,11982099
15-Jan-14,168.45,172.23,162.10,164.13,20488981
14-Jan-14,140.50,162.00,136.67,161.27,27935828
13-Jan-14,145.78,147.00,137.82,139.34,6324647
10-Jan-14,148.46,148.90,142.25,145.72,7450531
9-Jan-14,152.50,153.43,146.85,147.53,5388905
8-Jan-14,148.85,153.70,148.76,151.28,6166674
7-Jan-14,147.62,150.40,145.25,149.36,5041806
6-Jan-14,150.00,150.40,145.24,147.00,5367320
3-Jan-14,150.00,152.19,148.60,149.56,4698839
2-Jan-14,149.80,152.48,146.55,150.10,6195355
31-Dec-13,152.32,153.20,148.66,150.43,4266710
30-Dec-13,151.12,154.81,150.75,152.44,4472076
27-Dec-13,155.30,155.50,150.80,151.12,5469064
26-Dec-13,155.04,158.00,154.29,155.50,7129526
24-Dec-13,150.00,154.97,149.82,151.41,9941485
23-Dec-13,144.85,146.24,142.60,143.55,5385506
20-Dec-13,141.88,144.35,141.58,143.24,7422537
19-Dec-13,146.91,147.00,139.10,140.72,12758613
18-Dec-13,152.28,154.90,145.95,147.98,11581897
17-Dec-13,146.93,154.63,146.32,152.46,10494969
16-Dec-13,148.57,150.43,146.10,147.94,6675276
13-Dec-13,148.37,151.80,147.32,147.65,10599775
12-Dec-13,139.81,148.24,138.53,147.47,10767791
11-Dec-13,141.89,143.05,139.49,139.65,7137842
10-Dec-13,139.96,145.87,139.86,142.19,10748234
9-Dec-13,137.01,141.70,134.21,141.60,9061485
6-Dec-13,141.51,142.49,136.30,137.36,7909596
5-Dec-13,140.15,143.35,139.50,140.48,9288415
4-Dec-13,144.32,144.43,137.13,138.95,13147688
3-Dec-13,132.68,144.94,131.59,144.70,25682404
2-Dec-13,126.35,128.55,123.93,124.17,7751211
29-Nov-13,129.77,130.59,126.98,127.28,9716219
27-Nov-13,121.31,126.95,119.52,126.94,12367634
26-Nov-13,119.38,122.72,116.10,120.50,13885522
25-Nov-13,124.50,125.84,120.30,120.84,10275348
22-Nov-13,121.58,122.75,117.93,121.38,11104146
21-Nov-13,122.89,124.79,120.25,122.10,11903803
20-Nov-13,126.08,127.45,119.06,121.11,13849554
19-Nov-13,119.43,129.00,119.22,126.09,19816154
18-Nov-13,135.27,135.45,119.61,121.58,23138242
15-Nov-13,136.85,137.95,134.35,135.45,9900176
14-Nov-13,138.92,140.40,134.11,137.60,12203700
13-Nov-13,140.84,142.37,136.34,138.70,12658272
12-Nov-13,144.69,144.70,136.18,137.80,14985162
11-Nov-13,141.00,145.42,137.10,144.70,13997591
8-Nov-13,136.48,140.60,132.32,137.95,22477861
7-Nov-13,144.19,145.65,137.62,139.77,22284744
6-Nov-13,154.81,160.73,146.36,151.16,31071726
5-Nov-13,180.00,181.43,171.36,176.81,22467101
4-Nov-13,165.00,175.39,164.22,175.20,13120374
1-Nov-13,163.00,165.90,160.41,162.17,7180583
31-Oct-13,155.67,162.44,153.30,159.94,9340455
30-Oct-13,164.63,167.68,158.17,159.22,8401756
29-Oct-13,162.76,165.45,153.00,164.47,14111737
28-Oct-13,170.18,170.50,162.20,162.86,7841727
25-Oct-13,174.21,174.50,166.80,169.66,7595458
24-Oct-13,165.00,174.50,162.83,173.15,10825667
23-Oct-13,168.91,171.81,160.15,164.50,13327739
22-Oct-13,170.50,177.78,166.11,171.54,11394675
21-Oct-13,183.28,183.39,171.00,172.60,11532131
18-Oct-13,184.15,185.96,182.52,183.40,5930815
17-Oct-13,183.54,184.80,180.99,182.80,6704968
16-Oct-13,184.90,187.30,182.09,183.56,8205367
15-Oct-13,185.28,188.79,183.18,183.94,10978536
